Cabin and fuselage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,Input data from previous design phases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuselage outer equivalent diameter,"df,o",3.21,[m],,,,,,,,,,,,,,,,,,,,,None,17,0,0,0,0,FALSE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,100,TRUE,,,,,,,,,,,,,,
,Floor thickness [Schmitt],tfloor,0.108,[m],,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuselage outter height,"hf,o",3.21,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fuselage outter width,"wf,o",3.21,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cross section layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"First class seats, right aisle","nseats,right,FC",2,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"First class seats, middle aisle","nseats,mid,FC",0,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"First class seats, left aisle","nseats,left,FC",1,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Check : First class seats abreast,"nSA,FC",3,[-],,>>>>>,,Number of seats abreast is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Business class seats, right aisle","nseats,right,BC",2,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Business class seats, middle aisle","nseats,mid,BC",0,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Business class seats, left aisle","nseats,left,BC",3,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Check : Business class seats abreast,"nSA,BC",5,[-],,>>>>>,,Number of seats abreast is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Economy class seats, right aisle","nseats,right,YC",2,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Economy class seats, middle aisle","nseats,mid,YC",0,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Economy class seats, left aisle","nseats,left,YC",2,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Check : Economy class seats abreast,"nSA,YC",4,[-],,>>>>>,,Number of seats abreast is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Display ,,,,,,,,,,,,,,,,,,,,,,,,First class,Economy class,3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Economy class,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Economy class,,,,,,,,,,,,,,,
,Seat rails,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seat rails are positioned automatically based on,,,,,,,,,,,,,,,,,,,,,,using of side seatrails,FALSE,,,,,,,,,,,,,,,
,,economy class layout and these parameters: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,automatic seatrails positionning,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number of seat rails, right aisle","nrails,right",2,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number of seat rails, middle aisle","nrails,middle",0,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number of seat rails, left aisle","nrails,left",2,[-],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,saved values :,,,,,,,,,,,,,,,
,Side seatrail height,hside seatrail,-,[m],,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Distance between seat extremity and first seat rail,"dseat,seat rail",0.20,[m],,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Distance between two seat rails, right aisle","drails,right",0.66,[m],,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Distance between two seat rails, middle aisle","drails,middle",0.46,[m],,,,,,,,,,,,,,,,,,,,,0.4508,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Distance between two seat rails, left aisle","drails,left",0.66,[m],,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Distance from aisle to first seat rail, right","?yrails,right",0.46,[m],,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Distance from aisle to first seat rail, left","?yrails,left",0.46,[m],,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Check: aisle width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Aisle width, first class","waisle,FC",0.60,[m],,>>>>>,,First class aisle width is equal or bigger than economy class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Aisle width, business class","waisle,BC",-0.19,[m],,>>>>>,,Business class aisle width is smaller than economy class!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.,Cabin floorplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lavatories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number of lavatories, first class","nlavatories,FC",1,[-],,<<<<<,,Schmitt : number of FC lavatories suggestion,"npax, FC",0,,,,,,,,,,,,,,,,pax/lavatory,R<3000Nm,3000<R<5500Nm,R>5500Nm,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,FC,14,14,14,14,,,,,,,,,,,
,"Number of lavatories, business class","nlavatories,BC",0,[-],,<<<<<,,Schmitt : number of BC lavatories suggestion,"npax, BC",0,,,,,,,,,,,,,,,BC,25,25,25,25,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,YC,60,60,45,45,,,,,,,,,,,
,"Number of lavatories, economy class","nlavatories,YC",1,[-],,<<<<<,,Schmitt : number of YC lavatories suggestion,"npax, YC",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lavatory length,llavatory,1,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lavatory width,wlavatory,1.2,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,First class galleys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galley length,"lgalley,FC",0.7,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galley width,"wgalley,FC",1,[m],,,,Surface of one galley,"Sgalley,FC",0.7,[m²],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of galleys,"ngalley,FC",0,[-],,,,Surface of FC galleys,"Sgalleys,FC",0,[m²],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business class galleys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galley length,"lgalley,BC",1,[m],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galley width,"wgalley,BC",2,[m],,,,Surface of one galley,"Sgalley,BC",2,[m²],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Number of galleys,"ngalley,BC",0,[-],,,,Surface of BC galleys,"Sgalleys,BC",0,[m²],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Economy class galleys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Range > [Nm],kGalley [m²],,,,,,,,,,,,,,
,Galley length,"lgalley,YC",0.9,[m],,,,,,,,,,,,,,,,,,,,,0,16,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,700,23,,,,,,,,,,,,,,
,Galley width,"wgalley,YC",1.1,[m],,,,Surface of one galley,"Sgalley,YC",0.99,[m²],,,,,,,,,,,,,,1500,32,,,,,,,,,,,,,,
